@relation multiClassDataSet-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0

@attribute POS {V,ADJ,N,ADR,ADV,CONJ,NUM,POSTP,PR,PSUS,SUBR,PREP,PUNC,LATIN,ARAB,UNKNOWN}
@attribute synTag {NE,APP,NCL,AJUCL,PARCL,TAM,NPRT,NPP,VPRT,COMPP,NPOSTMOD,NPREMOD,PUNC,SBJ,NVE,ENC,ADVRB,NADV,ADJADV,PRD,ACL,AVCL,VCL,AJPP,ADVPP,ADVC,NEZ,ADVEZ,PROG,MOS,MOZ,OBJ,OBJ2,VPP,MESU,AJCONJ,PCONJ,NCONJ,VCONJ,AVCONJ,POSDEP,PREDEP,APOSTMOD,APREMOD,ROOT,UNKNOWN}
@attribute semTag {Arg0,Arg1,Arg2,Arg3,Arg4,Arg5,ArgM_COM,ArgM_LOC,ArgM_DIR,ArgM_GOL,ArgM_MNR,ArgM_TMP,ArgM_EXT,ArgM_REC,ArgM_PRP,ArgM_CAU,ArgM_DIS,ArgM_MOD,ArgM_NEG,ArgM_ADV,ArgM_CND,ArgM_INS,null}
@attribute superWsd {هست§n-12706,نفر§n-13075,مسبب§n-13036,جانور§n-12239,جان_دار§n-10393,ساختار§n-12875,جا§n-12733,شيء§n-12703,ماده§n-14032,مشخصه§n-12756,خصوصيت_رواني§n-12725,دوره_زماني§n-12603,اندازه§n-12768,رخداد§n-13136,رابطه§n-13628,گروه§n-12753,خبر§n-12766,null}
@attribute depended {YES,NO}
@attribute class {role,role_action,role_state,role_intent,role_emotion,dynamic_object,dynamic_object_action,dynamic_object_state,static_object,static_object_state,location,time}

@data
N,MOS,Arg2,نفر§n-13075,YES,role
N,SBJ,Arg1,نفر§n-13075,YES,role
N,NCONJ,null,نفر§n-13075,YES,role
N,SBJ,Arg0,نفر§n-13075,YES,role
N,SBJ,Arg0,نفر§n-13075,YES,role
PR,MOZ,null,نفر§n-13075,YES,role
N,AJPP,null,نفر§n-13075,YES,role
N,OBJ,Arg1,نفر§n-13075,YES,role
N,SBJ,Arg0,نفر§n-13075,NO,role
N,MOZ,null,null,YES,role
N,SBJ,Arg1,نفر§n-13075,YES,role
N,SBJ,Arg0,نفر§n-13075,NO,role
N,OBJ,Arg1,نفر§n-13075,NO,role
N,MOZ,null,null,YES,role
PR,POSDEP,null,نفر§n-13075,YES,role
PR,MOZ,null,خصوصيت_رواني§n-12725,YES,role
N,SBJ,Arg0,نفر§n-13075,NO,role
PR,MOZ,null,null,YES,role
N,SBJ,Arg0,خصوصيت_رواني§n-12725,YES,role
N,MOZ,null,نفر§n-13075,YES,role
N,MOZ,null,نفر§n-13075,YES,role
N,POSDEP,null,نفر§n-13075,YES,role
N,MOZ,null,نفر§n-13075,YES,role
PR,MOZ,null,null,YES,role
N,OBJ,Arg1,نفر§n-13075,YES,role
N,MOS,Arg2,نفر§n-13075,YES,role
N,NCONJ,null,رخداد§n-13136,YES,role
N,VPP,Arg3,نفر§n-13075,YES,role
PR,SBJ,Arg1,گروه§n-12753,YES,role
N,SBJ,Arg0,نفر§n-13075,NO,role
N,VPP,Arg3,نفر§n-13075,YES,role
N,POSDEP,null,گروه§n-12753,YES,role
PR,VPP,Arg3,نفر§n-13075,YES,role
N,VPP,Arg3,نفر§n-13075,YES,role
N,SBJ,Arg0,خصوصيت_رواني§n-12725,YES,role
N,VPP,Arg3,نفر§n-13075,YES,role
N,SBJ,Arg0,نفر§n-13075,YES,role
N,SBJ,Arg0,نفر§n-13075,YES,role
N,POSDEP,null,نفر§n-13075,YES,role
N,SBJ,Arg1,نفر§n-13075,YES,role
N,SBJ,Arg0,نفر§n-13075,YES,role
N,MOZ,null,نفر§n-13075,YES,role
PR,MOZ,null,نفر§n-13075,YES,role
N,SBJ,Arg0,نفر§n-13075,YES,role
N,MOZ,null,نفر§n-13075,YES,role
PR,MOZ,null,نفر§n-13075,YES,role
N,APP,null,گروه§n-12753,YES,role
N,SBJ,Arg1,نفر§n-13075,YES,role
N,OBJ,Arg0,نفر§n-13075,YES,role
PR,MOZ,null,null,YES,role
N,MOS,Arg2,نفر§n-13075,YES,role
N,POSDEP,null,نفر§n-13075,YES,role
PR,MOZ,null,نفر§n-13075,YES,role
N,NCONJ,null,گروه§n-12753,YES,role
N,SBJ,Arg1,گروه§n-12753,YES,role
N,NPP,null,نفر§n-13075,YES,role
N,SBJ,Arg0,نفر§n-13075,YES,role
PR,SBJ,Arg1,گروه§n-12753,NO,role
PR,SBJ,Arg0,نفر§n-13075,NO,role
N,POSDEP,null,نفر§n-13075,YES,role
N,SBJ,Arg0,خصوصيت_رواني§n-12725,NO,role
N,MOZ,null,گروه§n-12753,YES,role
PR,POSDEP,null,نفر§n-13075,YES,role
N,SBJ,Arg0,null,YES,role
N,MOZ,null,نفر§n-13075,YES,role
N,SBJ,Arg0,نفر§n-13075,YES,role
N,SBJ,Arg1,نفر§n-13075,YES,role
N,MOZ,null,نفر§n-13075,YES,role
N,OBJ,Arg1,گروه§n-12753,NO,role
PR,SBJ,Arg1,گروه§n-12753,YES,role
N,OBJ,Arg1,نفر§n-13075,YES,role
N,SBJ,Arg1,نفر§n-13075,YES,role
N,SBJ,Arg0,نفر§n-13075,YES,role
PR,MOZ,null,نفر§n-13075,YES,role
N,MOZ,null,نفر§n-13075,YES,role
N,SBJ,Arg1,null,YES,role
N,MOZ,null,نفر§n-13075,YES,role
N,SBJ,Arg0,نفر§n-13075,YES,role
N,SBJ,Arg0,خصوصيت_رواني§n-12725,YES,role
N,POSDEP,null,null,YES,role
N,VPP,Arg3,نفر§n-13075,NO,role
N,OBJ,Arg1,نفر§n-13075,YES,role
PR,SBJ,Arg1,گروه§n-12753,YES,role
N,SBJ,Arg1,نفر§n-13075,YES,role
N,OBJ,Arg1,null,NO,role
N,SBJ,Arg1,نفر§n-13075,YES,role
N,POSDEP,null,null,YES,role
N,MOZ,null,نفر§n-13075,YES,role
N,POSDEP,null,null,YES,role
PR,MOZ,null,نفر§n-13075,YES,role
PR,VPP,Arg3,null,YES,role
N,OBJ,Arg1,نفر§n-13075,NO,role
N,NCONJ,null,نفر§n-13075,YES,role
PR,VPP,Arg3,null,YES,role
N,NPP,Arg3,null,YES,role
N,SBJ,Arg0,خصوصيت_رواني§n-12725,YES,role
N,SBJ,Arg0,خصوصيت_رواني§n-12725,YES,role
PR,MOZ,null,نفر§n-13075,YES,role
N,OBJ,Arg1,نفر§n-13075,YES,role
N,MOZ,null,خصوصيت_رواني§n-12725,YES,role
N,SBJ,Arg0,null,YES,role
N,MOZ,null,نفر§n-13075,YES,role
PR,MOZ,null,null,YES,role
N,MOZ,null,خصوصيت_رواني§n-12725,YES,role
N,MOZ,null,خصوصيت_رواني§n-12725,YES,role
N,SBJ,Arg1,نفر§n-13075,YES,role
PR,MOZ,null,نفر§n-13075,YES,role
N,NPP,Arg3,null,YES,role
N,MOZ,null,نفر§n-13075,YES,role
N,SBJ,Arg0,نفر§n-13075,YES,role
N,MOZ,null,null,YES,role
N,SBJ,Arg0,نفر§n-13075,YES,role
N,MOZ,null,نفر§n-13075,YES,role
N,SBJ,Arg0,null,YES,role
N,SBJ,Arg0,نفر§n-13075,YES,role
PR,MOZ,null,null,YES,role
N,SBJ,Arg1,نفر§n-13075,YES,role
N,MOZ,null,نفر§n-13075,YES,role
N,POSDEP,null,null,YES,role
PR,POSDEP,null,نفر§n-13075,YES,role
N,SBJ,Arg0,خصوصيت_رواني§n-12725,NO,role
PR,POSDEP,null,نفر§n-13075,YES,role
N,SBJ,Arg1,نفر§n-13075,YES,role
N,NEZ,null,نفر§n-13075,YES,role
PR,OBJ,Arg1,null,YES,role
N,OBJ,Arg1,نفر§n-13075,NO,role
N,PREDEP,null,null,YES,role
PR,SBJ,Arg0,نفر§n-13075,YES,role
N,POSDEP,null,نفر§n-13075,YES,role
N,POSDEP,null,نفر§n-13075,YES,role
N,OBJ,Arg1,نفر§n-13075,NO,role
PR,MOZ,null,نفر§n-13075,YES,role
N,MOZ,null,null,YES,role
N,SBJ,Arg0,نفر§n-13075,NO,role
N,SBJ,Arg0,خصوصيت_رواني§n-12725,YES,role
PR,MOZ,null,نفر§n-13075,YES,role
N,OBJ,Arg1,نفر§n-13075,YES,role
N,NEZ,null,null,YES,role
N,NPP,Arg3,نفر§n-13075,YES,role
PR,MOZ,null,نفر§n-13075,YES,role
N,OBJ,Arg1,نفر§n-13075,YES,role
N,OBJ,Arg1,نفر§n-13075,YES,role
N,APP,null,null,YES,role
N,SBJ,Arg0,نفر§n-13075,NO,role
N,SBJ,Arg0,خصوصيت_رواني§n-12725,NO,role
N,SBJ,Arg0,null,YES,role
N,SBJ,Arg1,نفر§n-13075,YES,role
N,SBJ,Arg0,null,YES,role
N,OBJ,Arg1,نفر§n-13075,YES,role
N,POSDEP,null,نفر§n-13075,YES,role
PR,OBJ,Arg1,null,NO,role
N,NCONJ,null,null,YES,role
N,SBJ,Arg0,نفر§n-13075,YES,role
N,SBJ,Arg0,خصوصيت_رواني§n-12725,YES,role
N,OBJ,Arg1,نفر§n-13075,YES,role
N,OBJ,Arg1,نفر§n-13075,YES,role
N,SBJ,Arg0,نفر§n-13075,YES,role
N,POSDEP,null,نفر§n-13075,YES,role
N,APP,null,null,YES,role
N,MOZ,null,null,YES,role
PR,MOZ,null,نفر§n-13075,YES,role
N,POSDEP,null,نفر§n-13075,YES,role
N,SBJ,Arg1,null,YES,role
N,SBJ,Arg0,نفر§n-13075,YES,role
N,SBJ,Arg0,null,YES,role
N,NPP,null,نفر§n-13075,YES,role
N,AJPP,null,نفر§n-13075,YES,role
N,SBJ,Arg1,نفر§n-13075,YES,role
N,MOZ,null,null,YES,role
PR,MOZ,null,نفر§n-13075,YES,role
N,OBJ,Arg1,نفر§n-13075,NO,role
N,SBJ,Arg0,null,YES,role
N,NCONJ,null,null,YES,role
N,MOZ,null,نفر§n-13075,YES,role
N,POSDEP,null,نفر§n-13075,YES,role
PR,SBJ,Arg1,نفر§n-13075,YES,role
N,NPP,Arg3,null,YES,role
N,SBJ,Arg1,نفر§n-13075,YES,role
N,MOS,Arg2,نفر§n-13075,YES,role
N,NEZ,null,نفر§n-13075,YES,role
N,MOZ,Arg1,نفر§n-13075,YES,role
N,SBJ,Arg0,خصوصيت_رواني§n-12725,YES,role
N,AJPP,null,نفر§n-13075,YES,role
N,SBJ,Arg0,خصوصيت_رواني§n-12725,NO,role
N,SBJ,Arg1,نفر§n-13075,YES,role
N,POSDEP,null,خصوصيت_رواني§n-12725,YES,role
N,POSDEP,null,نفر§n-13075,YES,role
N,SBJ,Arg0,نفر§n-13075,YES,role
N,POSDEP,null,نفر§n-13075,YES,role
N,MOZ,null,نفر§n-13075,YES,role
N,SBJ,Arg0,null,YES,role
N,SBJ,Arg0,نفر§n-13075,NO,role
N,MOS,Arg2,گروه§n-12753,YES,role
PR,MOZ,null,هست§n-12706,YES,role
N,SBJ,Arg0,خصوصيت_رواني§n-12725,YES,role
N,OBJ,Arg1,نفر§n-13075,YES,role
V,ROOT,null,رخداد§n-13136,NO,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,VCONJ,null,رخداد§n-13136,YES,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,VCONJ,null,رخداد§n-13136,NO,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,VCONJ,null,رخداد§n-13136,YES,role_action
V,VCONJ,null,رخداد§n-13136,YES,role_action
V,VCL,null,رخداد§n-13136,YES,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,VCL,null,رخداد§n-13136,YES,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
N,MOZ,null,رخداد§n-13136,YES,role_action
V,VCONJ,null,رخداد§n-13136,NO,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,VCONJ,null,رخداد§n-13136,YES,role_action
V,VCONJ,null,null,YES,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,VCONJ,null,رخداد§n-13136,YES,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,VCONJ,null,رخداد§n-13136,YES,role_action
N,ADVRB,ArgM_CAU,رخداد§n-13136,YES,role_action
N,MOZ,null,رخداد§n-13136,YES,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,VCL,null,رخداد§n-13136,YES,role_action
V,VCONJ,null,null,NO,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,VCONJ,null,رخداد§n-13136,NO,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,VCONJ,null,رخداد§n-13136,YES,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
N,ADVRB,ArgM_INS,رخداد§n-13136,NO,role_action
V,VCONJ,null,رخداد§n-13136,YES,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,VCL,null,رخداد§n-13136,YES,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,VCL,null,رخداد§n-13136,YES,role_action
V,PRD,null,null,YES,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,VCONJ,null,null,YES,role_action
V,VCONJ,null,null,YES,role_action
V,VCONJ,null,رخداد§n-13136,YES,role_action
V,ROOT,null,null,NO,role_action
V,VCL,null,رخداد§n-13136,YES,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,VCONJ,null,رخداد§n-13136,YES,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,NCL,null,رخداد§n-13136,YES,role_action
V,VCONJ,null,رخداد§n-13136,YES,role_action
V,NCL,null,رخداد§n-13136,YES,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
N,ADVRB,ArgM_INS,رخداد§n-13136,NO,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,PRD,null,null,YES,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,VCONJ,null,رخداد§n-13136,NO,role_action
N,POSDEP,null,رخداد§n-13136,YES,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,VCONJ,null,null,YES,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,VCL,null,رخداد§n-13136,YES,role_action
V,VCONJ,null,رخداد§n-13136,YES,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,AJUCL,null,رخداد§n-13136,YES,role_action
V,VCONJ,null,رخداد§n-13136,YES,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
N,MOZ,null,رخداد§n-13136,YES,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,ROOT,null,null,NO,role_action
V,VCONJ,null,رخداد§n-13136,NO,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,VCL,null,رخداد§n-13136,YES,role_action
V,VCL,null,رخداد§n-13136,YES,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,VCL,null,رخداد§n-13136,YES,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,VCL,null,رخداد§n-13136,YES,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,NCL,null,رخداد§n-13136,YES,role_action
V,PRD,null,null,YES,role_action
V,VCL,null,null,YES,role_action
V,AJUCL,null,رخداد§n-13136,YES,role_action
V,VCONJ,null,رخداد§n-13136,NO,role_action
V,VCONJ,null,رخداد§n-13136,YES,role_action
V,VCONJ,null,null,YES,role_action
V,VCONJ,null,رخداد§n-13136,YES,role_action
V,AJUCL,null,رخداد§n-13136,NO,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,AJUCL,null,رخداد§n-13136,YES,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,VCONJ,null,رخداد§n-13136,YES,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,VCONJ,null,رخداد§n-13136,YES,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
N,NPP,Arg3,رخداد§n-13136,YES,role_action
V,VCONJ,null,رخداد§n-13136,YES,role_action
V,VCL,null,رخداد§n-13136,YES,role_action
V,VCONJ,null,null,NO,role_action
V,VCONJ,null,رخداد§n-13136,YES,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,VCONJ,null,رخداد§n-13136,NO,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,VCONJ,null,رخداد§n-13136,NO,role_action
N,MOS,Arg2,رخداد§n-13136,YES,role_action
V,PRD,null,null,YES,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,VCONJ,null,رخداد§n-13136,YES,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,PRD,null,null,YES,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,VCONJ,null,رخداد§n-13136,YES,role_action
V,VCONJ,null,رخداد§n-13136,YES,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,VCONJ,null,رخداد§n-13136,NO,role_action
V,VCONJ,null,null,YES,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,VCONJ,null,رخداد§n-13136,YES,role_action
V,AJUCL,null,رخداد§n-13136,YES,role_action
V,AJUCL,null,رخداد§n-13136,NO,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,VCONJ,null,رخداد§n-13136,YES,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,VCONJ,null,رخداد§n-13136,YES,role_action
V,MOS,null,null,YES,role_action
V,VCONJ,null,رخداد§n-13136,YES,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,VCONJ,null,null,YES,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,VCONJ,null,رخداد§n-13136,YES,role_action
V,VCONJ,null,رخداد§n-13136,YES,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
N,NVE,null,رخداد§n-13136,YES,role_action
V,VCONJ,null,رخداد§n-13136,YES,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,VCONJ,null,null,YES,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,PRD,null,null,YES,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
N,NPP,Arg3,رخداد§n-13136,YES,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,VCL,null,رخداد§n-13136,YES,role_action
V,VCONJ,null,رخداد§n-13136,YES,role_action
V,VCL,null,رخداد§n-13136,YES,role_action
V,VCONJ,null,رخداد§n-13136,YES,role_action
V,VCONJ,null,رخداد§n-13136,YES,role_action
V,VCONJ,null,رخداد§n-13136,YES,role_action
V,VCONJ,null,رخداد§n-13136,YES,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,NCL,null,رخداد§n-13136,YES,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,NCL,null,رخداد§n-13136,YES,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,VCONJ,null,null,YES,role_action
V,VCONJ,null,رخداد§n-13136,YES,role_action
V,ROOT,null,null,NO,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,VCONJ,null,رخداد§n-13136,NO,role_action
V,VCL,null,رخداد§n-13136,YES,role_action
V,VCONJ,null,رخداد§n-13136,YES,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,VCONJ,null,رخداد§n-13136,YES,role_action
V,VCONJ,null,رخداد§n-13136,YES,role_action
N,ADVRB,ArgM_INS,رخداد§n-13136,NO,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
V,PRD,null,رخداد§n-13136,YES,role_action
V,PRD,null,null,YES,role_action
V,VCONJ,null,رخداد§n-13136,YES,role_action
V,VCONJ,null,null,NO,role_action
V,AJUCL,null,رخداد§n-13136,YES,role_action
V,ROOT,null,رخداد§n-13136,NO,role_action
ADJ,PREDEP,null,مشخصه§n-12756,YES,role_state
ADJ,NPOSTMOD,null,مشخصه§n-12756,YES,role_state
ADJ,MOS,Arg2,مشخصه§n-12756,YES,role_state
N,MOZ,null,null,YES,role_state
N,NVE,null,null,YES,role_state
ADJ,MOS,Arg2,null,YES,role_state
N,VPP,Arg3,مشخصه§n-12756,NO,role_state
ADJ,NPOSTMOD,null,null,YES,role_state
N,APP,null,نفر§n-13075,YES,role_state
N,ADVRB,ArgM_COM,رخداد§n-13136,YES,role_state
ADJ,MOS,Arg2,null,YES,role_state
N,NVE,null,رخداد§n-13136,YES,role_state
ADJ,NPOSTMOD,null,مشخصه§n-12756,YES,role_state
N,MOZ,null,null,YES,role_state
N,NCONJ,null,خصوصيت_رواني§n-12725,YES,role_state
ADJ,MOS,Arg2,مشخصه§n-12756,YES,role_state
ADJ,NPOSTMOD,null,مشخصه§n-12756,YES,role_state
PREP,VPP,Arg3,null,NO,role_state
N,SBJ,Arg1,null,YES,role_state
ADJ,MOS,Arg2,null,YES,role_state
ADJ,NPOSTMOD,null,مشخصه§n-12756,YES,role_state
N,POSDEP,null,خصوصيت_رواني§n-12725,YES,role_state
ADJ,MOS,Arg2,مشخصه§n-12756,YES,role_state
ADJ,MOS,Arg2,مشخصه§n-12756,YES,role_state
ADJ,NPOSTMOD,null,مشخصه§n-12756,YES,role_state
ADJ,NPOSTMOD,null,مشخصه§n-12756,YES,role_state
N,ADVRB,ArgM_MNR,رخداد§n-13136,YES,role_state
ADJ,NPOSTMOD,null,null,YES,role_state
ADJ,NPOSTMOD,null,مشخصه§n-12756,YES,role_state
UNKNOWN,ADVRB,ArgM_MNR,مشخصه§n-12756,YES,role_state
N,MOZ,Arg1,رخداد§n-13136,YES,role_state
N,POSDEP,null,مشخصه§n-12756,YES,role_state
